,id,contents,length,prompts,language
10,40275,Dr Kanton Guémené-sur-Scorff isch bis Merz 2015 e Kanton im Arrondissement Pontivy im franzesische Département Morbihan in dr Region Bretagne gsii. Dr Hauptort isch Guémené-sur-Scorff gsii. Verdrätter im conseil général vum Département isch bis 2015 dr Jean-Jacques Tromilin gsii. Zum 22. Merz 2015 isch dr Kanton ufglest wore. Zum Kanton hän zeh Gmaine ghert:,360,Translate the following German dialect text into standard German: 'Dr Kanton Guémené-sur-Scorff isch bis Merz 2015 e Kanton im Arrondissement Pontivy im franzesische Département Morbihan in dr Region Bretagne gsii. Dr Hauptort isch Guémené-sur-Scorff gsii. Verdrätter im conseil général vum Département isch bis 2015 dr Jean-Jacques Tromilin gsii. Zum 22. Merz 2015 isch dr Kanton ufglest wore. Zum Kanton hän zeh Gmaine ghert:'. Only answer with the standard German version:,als
11,42158,"Mississippi stoot für: Mississippi River, e Fluss in de Veräinigte Staate Mississippi (Bundesstaat), e Bundesstaat vo de Veräinigte Staate Mississippi River (Ontario), e Fluss z Kanada Mississippi County (Arkansas), e County z Arkansas in de Veräinigte Staate Mississippi County (Missouri), e County z Missouri in de Veräinigte Staate",334,"Translate the following German dialect text into standard German: 'Mississippi stoot für: Mississippi River, e Fluss in de Veräinigte Staate Mississippi (Bundesstaat), e Bundesstaat vo de Veräinigte Staate Mississippi River (Ontario), e Fluss z Kanada Mississippi County (Arkansas), e County z Arkansas in de Veräinigte Staate Mississippi County (Missouri), e County z Missouri in de Veräinigte Staate'. Only answer with the standard German version:",als
12,52778,"Botafogo Futebol Clube isch ä Fuesballverein in da brasilianischa Stadt João Pessoa. Staatsmeischter vo Paraíba (27) 1936, 1937, 1938, 1944, 1945, 1947, 1948, 1949, 1953, 1954, 1955, 1957, 1968, 1969, 1970, 1975, 1976, 1977, 1978, 1984, 1986, 1988, 1998, 1999, 2003, 2013, 2014 Botafogo' Offizielli Websyte (Site cha nüme abgrüeft wärde; Suche im Webarchiv)[1] [2] Vorlage:Toter Link/www.botafogodaparaiba",405,"Translate the following German dialect text into standard German: 'Botafogo Futebol Clube isch ä Fuesballverein in da brasilianischa Stadt João Pessoa. Staatsmeischter vo Paraíba (27) 1936, 1937, 1938, 1944, 1945, 1947, 1948, 1949, 1953, 1954, 1955, 1957, 1968, 1969, 1970, 1975, 1976, 1977, 1978, 1984, 1986, 1988, 1998, 1999, 2003, 2013, 2014 Botafogo' Offizielli Websyte (Site cha nüme abgrüeft wärde; Suche im Webarchiv)[1] [2] Vorlage:Toter Link/www.botafogodaparaiba'. Only answer with the standard German version:",als
13,80539,"Twerenbold isch e Familiename. Bekanti Lüüt sind: Hansrudolf Twerenbold (* 1939), Schwiizer Schauspiiler Maurus Twerenbold (* 1988), Schwiizer Jazzmusiker Paul Twerenbold (* 1946), Schwiizer Politiker Werner Twerenbold (1946–2015), Schwiizer Undernäämer Twerenbold isch vo do häär au dr Naame von ere Firma: Twerenbold Service, Schwiizer Reiseundernääme",353,"Translate the following German dialect text into standard German: 'Twerenbold isch e Familiename. Bekanti Lüüt sind: Hansrudolf Twerenbold (* 1939), Schwiizer Schauspiiler Maurus Twerenbold (* 1988), Schwiizer Jazzmusiker Paul Twerenbold (* 1946), Schwiizer Politiker Werner Twerenbold (1946–2015), Schwiizer Undernäämer Twerenbold isch vo do häär au dr Naame von ere Firma: Twerenbold Service, Schwiizer Reiseundernääme'. Only answer with the standard German version:",als
14,62401,D Quimper Communauté (bretonisch Kemper Kumuniezh) isch bis 2016 e franzesischi Communauté d’agglomération im Département Finistère in dr Region Bretagne gsii. Dr Gmaiverband isch am 28. Dezämber 1999 grindet wore un us acht Gmaine bstande. Dr Verwaltigssitz isch z Quimper gsii. Bresidänt isch dr Ludovic Jolivet gsii. Zum Kommunalverband hän die Gmaine ghert: Ergué-Gabéric Guengat Locronan Plogonnec Plomelin Plonéis Pluguffan Quimper http://www.quimper-communaute.fr,470,Translate the following German dialect text into standard German: 'D Quimper Communauté (bretonisch Kemper Kumuniezh) isch bis 2016 e franzesischi Communauté d’agglomération im Département Finistère in dr Region Bretagne gsii. Dr Gmaiverband isch am 28. Dezämber 1999 grindet wore un us acht Gmaine bstande. Dr Verwaltigssitz isch z Quimper gsii. Bresidänt isch dr Ludovic Jolivet gsii. Zum Kommunalverband hän die Gmaine ghert: Ergué-Gabéric Guengat Locronan Plogonnec Plomelin Plonéis Pluguffan Quimper http://www.quimper-communaute.fr'. Only answer with the standard German version:,als
15,87437,"Dr Edgar de Wahl (* 23. August 1867 z Olwiopol (hüt z Perwomajsk, Ukraine); † 9. März 1948 z Tallinn) isch e baltisch-dütscher Lehrer, Mathematiker und Linguist gsi. Er isch vor allem bekannt als Schöpfer vo 'Interlingue' (das er sy ganzs Läbe lang 'Occidental' gnännt het), e natürlichi Kunstsprach, wo uf de indogermanische Sprache basiert und zum erschte Mol 1922 veröffentlicht worde isch.",393,"Translate the following German dialect text into standard German: 'Dr Edgar de Wahl (* 23. August 1867 z Olwiopol (hüt z Perwomajsk, Ukraine); † 9. März 1948 z Tallinn) isch e baltisch-dütscher Lehrer, Mathematiker und Linguist gsi. Er isch vor allem bekannt als Schöpfer vo 'Interlingue' (das er sy ganzs Läbe lang 'Occidental' gnännt het), e natürlichi Kunstsprach, wo uf de indogermanische Sprache basiert und zum erschte Mol 1922 veröffentlicht worde isch.'. Only answer with the standard German version:",als
16,60418,"Hutzel chan folgendes bedüte: Hutzel, es Synonym für e Hutzla, Kletze, Holz- oder Dörrbire Hutzel, au Hutzelwiib, en alti Frau mit runzlige Hut Hutzel, en Tannzapfe Hutzelbrot, e schwäbisch-alemannischi Spezialität S Stuegerter Hutzelmännle, a Märle vom Eduard Mörike Hutzel isch de Familiename vo däne Persone: Andreas Hutzel (* 1968), en dütsche Schauspiiler us Schorndorf",374,"Translate the following German dialect text into standard German: 'Hutzel chan folgendes bedüte: Hutzel, es Synonym für e Hutzla, Kletze, Holz- oder Dörrbire Hutzel, au Hutzelwiib, en alti Frau mit runzlige Hut Hutzel, en Tannzapfe Hutzelbrot, e schwäbisch-alemannischi Spezialität S Stuegerter Hutzelmännle, a Märle vom Eduard Mörike Hutzel isch de Familiename vo däne Persone: Andreas Hutzel (* 1968), en dütsche Schauspiiler us Schorndorf'. Only answer with the standard German version:",als
17,59662,"Schüpfheim oder Schüpfe chan folgendes bedüte: Schüpfheim LU, im Tialäkt Schüpfe, isch e politischi Gmeind im Äntlibuech, Kanton Lozärn, Schwiz Schüpfheim ZH, isch es Dorf (und ehemolegi Gmaind) i de politische Gmaind Stadel im Kanton Züri, Schwiz Schüpfen, im Tialäkt Schüpfe, isch e politischi Gmeind im Seeland, Kanton Bärn, Schwiz schüpfe isch en anders Wort för «schupfe», «pütsche», «putsche», «stoosse» usw.",414,"Translate the following German dialect text into standard German: 'Schüpfheim oder Schüpfe chan folgendes bedüte: Schüpfheim LU, im Tialäkt Schüpfe, isch e politischi Gmeind im Äntlibuech, Kanton Lozärn, Schwiz Schüpfheim ZH, isch es Dorf (und ehemolegi Gmaind) i de politische Gmaind Stadel im Kanton Züri, Schwiz Schüpfen, im Tialäkt Schüpfe, isch e politischi Gmeind im Seeland, Kanton Bärn, Schwiz schüpfe isch en anders Wort för «schupfe», «pütsche», «putsche», «stoosse» usw.'. Only answer with the standard German version:",als
18,3891,"I de Liste vo de Schwizer Seeje sy Seeje mit erer Flächi vo über 1 km² sortiert ufglischtet. Es zellt di gsammti Flächi vom See, also au wänn er nöd ganz i de Schwiz isch. D Rekordzahle sy jewyls fett aggää. D Spycherseeje sy hier nid ufgfüert. * dient au als Stausee Lischte vo de Stauseeje ir Schwiz",301,"Translate the following German dialect text into standard German: 'I de Liste vo de Schwizer Seeje sy Seeje mit erer Flächi vo über 1 km² sortiert ufglischtet. Es zellt di gsammti Flächi vom See, also au wänn er nöd ganz i de Schwiz isch. D Rekordzahle sy jewyls fett aggää. D Spycherseeje sy hier nid ufgfüert. * dient au als Stausee Lischte vo de Stauseeje ir Schwiz'. Only answer with the standard German version:",als
19,92307,"S erscht Turnier um dr Henri-Delaunay-Pokal isch vum 6. bis 10. Juli 1960 as European Nations' Cup (dt. Europapokal der Nationen) z Frankrych uusdrait wore. Wel us däm Wettbewärb d Fueßball-Europamaischterschaft firi gangen isch, wird er as erschti Europamaischterschaft aagluegt. Im Finale het d Sowjetunion mit 2:1 n. V. (1:1, 0:1) gege Jugoslawie gwunne. Euro 1960 uf uefa.com Info zum Turnier uf rsssf.org",409,"Translate the following German dialect text into standard German: 'S erscht Turnier um dr Henri-Delaunay-Pokal isch vum 6. bis 10. Juli 1960 as European Nations' Cup (dt. Europapokal der Nationen) z Frankrych uusdrait wore. Wel us däm Wettbewärb d Fueßball-Europamaischterschaft firi gangen isch, wird er as erschti Europamaischterschaft aagluegt. Im Finale het d Sowjetunion mit 2:1 n. V. (1:1, 0:1) gege Jugoslawie gwunne. Euro 1960 uf uefa.com Info zum Turnier uf rsssf.org'. Only answer with the standard German version:",als
20,86908,"S Kabinett Söder I isch vum 21. Merz bis zum 12. Novämber 2018 d Staatsregierig vum Freistaat Bayern gsii. Wu dr Horst Seehofer am 13. Merz 2018 vum Amt as Minischterbresidänt zrufggdrätte un as Bundesinneminischter in s Kabinett Merkel IV yydrätten isch, isch dr Markus Söder am 16. Merz 2018 sy Noofolger wore. www.bayern.de: Kabinett Dr Markus Söder (2018) 2013 2018 - Der Bayernplan (csu.de)",395,"Translate the following German dialect text into standard German: 'S Kabinett Söder I isch vum 21. Merz bis zum 12. Novämber 2018 d Staatsregierig vum Freistaat Bayern gsii. Wu dr Horst Seehofer am 13. Merz 2018 vum Amt as Minischterbresidänt zrufggdrätte un as Bundesinneminischter in s Kabinett Merkel IV yydrätten isch, isch dr Markus Söder am 16. Merz 2018 sy Noofolger wore. www.bayern.de: Kabinett Dr Markus Söder (2018) 2013 2018 - Der Bayernplan (csu.de)'. Only answer with the standard German version:",als
21,59992,"Buchrain isch de Name vo däne Ort: Buchrain LU (im örtliche Dialäkt «Bueri»), e politischi Gmeind im Kanton Lozärn, Schwiz Buchrain (Großkarolinenfeld), en Ortsteil vo de Gmeind Großkarolinenfeld, Landchreis Roseheim, Bayern Buchrain (Riekofen), en Ortsteil vo de Gmeind Riekofen, Landchreis Rägesburg, Bayern",309,"Translate the following German dialect text into standard German: 'Buchrain isch de Name vo däne Ort: Buchrain LU (im örtliche Dialäkt «Bueri»), e politischi Gmeind im Kanton Lozärn, Schwiz Buchrain (Großkarolinenfeld), en Ortsteil vo de Gmeind Großkarolinenfeld, Landchreis Roseheim, Bayern Buchrain (Riekofen), en Ortsteil vo de Gmeind Riekofen, Landchreis Rägesburg, Bayern'. Only answer with the standard German version:",als
22,32758,"Die Liste zällt Näme vo Pflanze uuf, wo z Liachtastää bruucht weret. Abchörzige bidüütet: Hans Stricker et al.: Lichtensteiner Namenbuch. die Orts- und Flurnamen des Fürstentums Liechtenstein, Band 5 Lexikon; Vadoz 1999. ISBN 3-906393-25-9 P.A. Schaedler: Einiges über die Mundart der Talgemeinden Liechtensteins; 1915 Hans Heinrich Bosshard: Mundartnamen von Bäumen und Sträuchern; Züri, 1978 Vorarlberger Sprachatlas (VALTS) Alemannischi Pflanzenäme Liachtastääner Tiernäme",475,"Translate the following German dialect text into standard German: 'Die Liste zällt Näme vo Pflanze uuf, wo z Liachtastää bruucht weret. Abchörzige bidüütet: Hans Stricker et al.: Lichtensteiner Namenbuch. die Orts- und Flurnamen des Fürstentums Liechtenstein, Band 5 Lexikon; Vadoz 1999. ISBN 3-906393-25-9 P.A. Schaedler: Einiges über die Mundart der Talgemeinden Liechtensteins; 1915 Hans Heinrich Bosshard: Mundartnamen von Bäumen und Sträuchern; Züri, 1978 Vorarlberger Sprachatlas (VALTS) Alemannischi Pflanzenäme Liachtastääner Tiernäme'. Only answer with the standard German version:",als
23,40287,Dr Kanton Locminé isch bis 2015 e Kanton im Arrondissement Pontivy im franzesische Département Morbihan in dr Region Bretagne gsii. Dr Hauptort isch Locminé gsii. Verdrätter im conseil général vum Département isch bis 2015 dr Gérard Lorgeoux (RPR dann UMP) gsii gsii. Zum 22. Merz 2015 isch dr Kanton ufglest wore. Zum Kanton hän acht Gmaine ghert:,348,Translate the following German dialect text into standard German: 'Dr Kanton Locminé isch bis 2015 e Kanton im Arrondissement Pontivy im franzesische Département Morbihan in dr Region Bretagne gsii. Dr Hauptort isch Locminé gsii. Verdrätter im conseil général vum Département isch bis 2015 dr Gérard Lorgeoux (RPR dann UMP) gsii gsii. Zum 22. Merz 2015 isch dr Kanton ufglest wore. Zum Kanton hän acht Gmaine ghert:'. Only answer with the standard German version:,als
24,82615,"Die Lischt git en Iberblick iber alli Mitglider vum 17. bade-wirttembergische Landdag (2021–2026) mit Fraktionszuegherigkait, Wahlkrais un Stimmenaadail. Dr 17. Landdag isch am 14. Merz 2021 gwehlt wore. No dr Landdagswahl 2021 setzt si dr Landdag eso zämme: Inhaltsverzeichnis A B C D E F G H I J K L M N O P Q R S T U V W X Y Z Lischt vu dr gwehlte Abgordnete noch em vorlaifige Ergebnis uf dr Homepage vu dr Landeszentrale für politische Bildung Baden-Württemberg",466,"Translate the following German dialect text into standard German: 'Die Lischt git en Iberblick iber alli Mitglider vum 17. bade-wirttembergische Landdag (2021–2026) mit Fraktionszuegherigkait, Wahlkrais un Stimmenaadail. Dr 17. Landdag isch am 14. Merz 2021 gwehlt wore. No dr Landdagswahl 2021 setzt si dr Landdag eso zämme: Inhaltsverzeichnis A B C D E F G H I J K L M N O P Q R S T U V W X Y Z Lischt vu dr gwehlte Abgordnete noch em vorlaifige Ergebnis uf dr Homepage vu dr Landeszentrale für politische Bildung Baden-Württemberg'. Only answer with the standard German version:",als
25,72487,"D Communauté de communes Haut Chemin-Pays de Pange ìsch a Kommünàlverbànd ìm Moselle (Frànkrìch). Sa ìsch zum 1. Janner 2017 grìnda worra üs dr Füsion vu dr Kommünàlverbànd Communauté de communes du Haut Chemin un Communauté de communes du Pays de Pange. Zum Kommünàlverbànd gheera 28 Gmeina. Dr Hauiptort vum Verbànd ìsch Pange, Präsidant ìsch dr Roland Chloup. www.collectivites-locales.gouv.fr",396,"Translate the following German dialect text into standard German: 'D Communauté de communes Haut Chemin-Pays de Pange ìsch a Kommünàlverbànd ìm Moselle (Frànkrìch). Sa ìsch zum 1. Janner 2017 grìnda worra üs dr Füsion vu dr Kommünàlverbànd Communauté de communes du Haut Chemin un Communauté de communes du Pays de Pange. Zum Kommünàlverbànd gheera 28 Gmeina. Dr Hauiptort vum Verbànd ìsch Pange, Präsidant ìsch dr Roland Chloup. www.collectivites-locales.gouv.fr'. Only answer with the standard German version:",als
26,72057,Dr Kanton Colmer-1 ìsch a Kanton ìm Owerelsàss ìn dr Region Grand Est z Frànkrich. Hauiptort (frz. bureau centralisateur) vum Kànton ìsch Colmer. Dr Kanton isch zem 22. März 2015 nej grinda worra. Zem Kànton gheere d Gmeind Ìngersche un a Teil vu Colmer. Dekret Nr. 2014-207 vom frànzeesche Ìnnaminischterium fìr d Nejgstàltung vu Kanton im Département Haut-Rhin Kanton im Département Owerelsass (Haut-Rhin),407,Translate the following German dialect text into standard German: 'Dr Kanton Colmer-1 ìsch a Kanton ìm Owerelsàss ìn dr Region Grand Est z Frànkrich. Hauiptort (frz. bureau centralisateur) vum Kànton ìsch Colmer. Dr Kanton isch zem 22. März 2015 nej grinda worra. Zem Kànton gheere d Gmeind Ìngersche un a Teil vu Colmer. Dekret Nr. 2014-207 vom frànzeesche Ìnnaminischterium fìr d Nejgstàltung vu Kanton im Département Haut-Rhin Kanton im Département Owerelsass (Haut-Rhin)'. Only answer with the standard German version:,als
27,24871,"Neuenstein isch dr Name vu däne Ortschafte: Neuenstein, Stadt im Hohenlohekreis z Bade-Wirttebärg Neuenstein (Hessen), Gmei im Landchreis Hersfeld-Rotenburg z Hesse Neuenstein isch dr Name vu däne Burge: Burg Neuestei, Burgruine bi Badewyyler im Landchreis Bryysgau-Hochschwarzwald z Bade-Wirttebärg Burg Nejestei, Burgruine bi Lütebach-Huebacker im Ortenaukreis z Bade-Wirttebärg Burg Neuenstein, Burg bi Neuenstein-Saasen im Landchreis Hersfeld-Rotenburg z Hesse",464,"Translate the following German dialect text into standard German: 'Neuenstein isch dr Name vu däne Ortschafte: Neuenstein, Stadt im Hohenlohekreis z Bade-Wirttebärg Neuenstein (Hessen), Gmei im Landchreis Hersfeld-Rotenburg z Hesse Neuenstein isch dr Name vu däne Burge: Burg Neuestei, Burgruine bi Badewyyler im Landchreis Bryysgau-Hochschwarzwald z Bade-Wirttebärg Burg Nejestei, Burgruine bi Lütebach-Huebacker im Ortenaukreis z Bade-Wirttebärg Burg Neuenstein, Burg bi Neuenstein-Saasen im Landchreis Hersfeld-Rotenburg z Hesse'. Only answer with the standard German version:",als
28,86894,S Kabinett Streibl I isch vum 19. Oktober 1988 bis zum 30. Oktober 1990 d Staatsregierig vum Freistaat Bayern gsii. Noch em Dod vum Franz Josef Strauß am 3. Oktober 1988 isch dr Max Streibl sy Noofolger wore. Peter Jakob Kock: Der Bayerische Landtag. Eine Chronik. Hrsg. vom Bayerischen Landtag. 7. aktualisierte Auflage. München 2016 (Online) www.bayern.de: Kabinett Dr. h. c. Max Streibl (1988 bis 1990),405,Translate the following German dialect text into standard German: 'S Kabinett Streibl I isch vum 19. Oktober 1988 bis zum 30. Oktober 1990 d Staatsregierig vum Freistaat Bayern gsii. Noch em Dod vum Franz Josef Strauß am 3. Oktober 1988 isch dr Max Streibl sy Noofolger wore. Peter Jakob Kock: Der Bayerische Landtag. Eine Chronik. Hrsg. vom Bayerischen Landtag. 7. aktualisierte Auflage. München 2016 (Online) www.bayern.de: Kabinett Dr. h. c. Max Streibl (1988 bis 1990)'. Only answer with the standard German version:,als
